time="2024-03-04T14:02:28.225" level=info msg="Starting kbench..."
time="2024-03-04T14:02:28.233" level=info msg="Created a new Pod manager."
time="2024-03-04T14:02:28.239" level=warning msg="Fail to create namespace kbench-pod-namespace, namespaces \"kbench-pod-namespace\" already exists"
time="2024-03-04T14:02:28.239" level=info msg="Performing pod actions in operation 0"
time="2024-03-04T14:02:28.240" level=info msg="Waiting all threads to finish on the current operation"
time="2024-03-04T14:02:28.253" level=error msg="pods \"kbench-pod-oid-0-tid-1\" already exists"
time="2024-03-04T14:02:28.253" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2024-03-04T14:02:28.253" level=error msg="pods \"kbench-pod-oid-0-tid-2\" already exists"
time="2024-03-04T14:02:28.253" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2024-03-04T14:02:28.253" level=error msg="pods \"kbench-pod-oid-0-tid-0\" already exists"
time="2024-03-04T14:02:28.253" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2024-03-04T14:04:08.253" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T14:04:11.253" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T14:04:14.253" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T14:04:17.254" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T14:04:20.254" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T14:04:23.254" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T14:04:26.254" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T14:04:29.254" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T14:04:32.254" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T14:04:35.255" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T14:04:38.255" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T14:04:41.255" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T14:04:44.255" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T14:04:47.255" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T14:04:50.255" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T14:04:53.256" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T14:04:56.256" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T14:04:59.256" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T14:05:02.256" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T14:05:05.256" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T14:05:08.257" level=warning msg="Timed out after waiting 60000 mili-seconds, moving forward..."
time="2024-03-04T14:05:08.257" level=info msg="One operation completed. Continue to run the next..."
time="2024-03-04T14:05:08.356" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T14:05:08.357" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T14:05:08.357" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T14:05:11.449" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T14:05:11.449" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T14:05:11.449" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T14:05:14.543" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T14:05:14.543" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T14:05:14.543" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T14:05:17.642" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T14:05:17.642" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T14:05:17.642" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T14:05:20.739" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T14:05:20.739" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T14:05:20.739" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T14:05:23.833" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T14:05:23.833" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T14:05:23.833" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T14:05:26.938" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T14:05:26.938" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T14:05:26.938" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T14:05:30.032" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T14:05:30.032" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T14:05:30.032" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T14:05:33.135" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T14:05:33.135" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T14:05:33.135" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T14:05:36.235" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T14:05:36.235" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T14:05:36.235" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T14:05:39.347" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T14:05:39.347" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T14:05:39.347" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T14:05:42.447" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T14:05:42.447" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T14:05:42.447" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T14:05:45.542" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T14:05:45.542" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T14:05:45.542" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T14:05:48.642" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T14:05:48.642" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T14:05:48.642" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T14:05:51.737" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T14:05:51.737" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T14:05:51.737" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T14:05:54.847" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T14:05:54.847" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T14:05:54.847" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
