time="2024-03-21T03:36:04.093" level=info msg="Starting kbench..."
time="2024-03-21T03:36:04.096" level=info msg="Created a new Pod manager."
time="2024-03-21T03:36:04.105" level=warning msg="Fail to create namespace kbench-pod-namespace, namespaces \"kbench-pod-namespace\" already exists"
time="2024-03-21T03:36:04.105" level=info msg="Performing pod actions in operation 0"
time="2024-03-21T03:36:04.105" level=info msg="Waiting all threads to finish on the current operation"
time="2024-03-21T03:36:04.126" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2024-03-21T03:36:04.132" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2024-03-21T03:36:04.132" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2024-03-21T03:37:44.132" level=info msg="One operation completed. Continue to run the next..."
time="2024-03-21T03:37:44.278" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:37:44.278" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:37:44.278" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:37:47.404" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:37:47.404" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:37:47.404" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:37:50.525" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:37:50.525" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:37:50.525" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:37:53.654" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:37:53.654" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:37:53.654" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:37:56.778" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:37:56.778" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:37:56.778" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:37:59.944" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:37:59.944" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:37:59.944" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:38:03.078" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:38:03.078" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:38:03.078" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:38:06.189" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:38:06.189" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:38:06.190" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:38:09.321" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:38:09.321" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:38:09.321" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:38:12.451" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:38:12.451" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:38:12.451" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:38:15.571" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
