time="2023-12-26T03:58:53.595" level=info msg="Starting kbench..."
time="2023-12-26T03:58:53.597" level=info msg="Created a new Pod manager."
time="2023-12-26T03:58:53.609" level=warning msg="Fail to create namespace kbench-pod-namespace, namespaces \"kbench-pod-namespace\" already exists"
time="2023-12-26T03:58:53.609" level=info msg="Performing pod actions in operation 0"
time="2023-12-26T03:58:53.609" level=info msg="Waiting all threads to finish on the current operation"
time="2023-12-26T03:58:53.630" level=error msg="pods \"kbench-pod-oid-0-tid-0\" already exists"
time="2023-12-26T03:58:53.630" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2023-12-26T03:58:53.630" level=error msg="pods \"kbench-pod-oid-0-tid-1\" already exists"
time="2023-12-26T03:58:53.630" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2023-12-26T03:58:53.630" level=error msg="pods \"kbench-pod-oid-0-tid-2\" already exists"
time="2023-12-26T03:58:53.630" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2023-12-26T04:00:33.631" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-26T04:00:36.631" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-26T04:00:39.631" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-26T04:00:42.631" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-26T04:00:45.631" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-26T04:00:48.631" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-26T04:00:51.631" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-26T04:00:54.632" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-26T04:00:57.632" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-26T04:01:00.632" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-26T04:01:03.632" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-26T04:01:06.632" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-26T04:01:09.632" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-26T04:01:12.633" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-26T04:01:15.633" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-26T04:01:18.633" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-26T04:01:21.633" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-26T04:01:24.633" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-26T04:01:27.634" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-26T04:01:30.634" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-26T04:01:33.634" level=warning msg="Timed out after waiting 60000 mili-seconds, moving forward..."
time="2023-12-26T04:01:33.634" level=info msg="One operation completed. Continue to run the next..."
time="2023-12-26T04:01:33.635" level=warning msg="Resource predicate not passed, object not found..."
time="2023-12-26T04:01:33.635" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-26T04:01:36.637" level=warning msg="Resource predicate not passed, object not found..."
time="2023-12-26T04:01:36.637" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-26T04:01:39.638" level=warning msg="Resource predicate not passed, object not found..."
time="2023-12-26T04:01:39.638" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-26T04:01:42.640" level=warning msg="Resource predicate not passed, object not found..."
time="2023-12-26T04:01:42.640" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-26T04:01:45.641" level=warning msg="Resource predicate not passed, object not found..."
time="2023-12-26T04:01:45.641" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-26T04:01:48.642" level=warning msg="Resource predicate not passed, object not found..."
time="2023-12-26T04:01:48.642" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-26T04:01:51.643" level=warning msg="Resource predicate not passed, object not found..."
time="2023-12-26T04:01:51.643" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-26T04:01:54.644" level=warning msg="Resource predicate not passed, object not found..."
time="2023-12-26T04:01:54.644" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-26T04:01:57.646" level=warning msg="Resource predicate not passed, object not found..."
time="2023-12-26T04:01:57.646" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-26T04:02:00.647" level=warning msg="Resource predicate not passed, object not found..."
time="2023-12-26T04:02:00.647" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-26T04:02:03.648" level=warning msg="Resource predicate not passed, object not found..."
