time="2024-03-04T12:21:12.213" level=info msg="Starting kbench..."
time="2024-03-04T12:21:12.221" level=info msg="Created a new Pod manager."
time="2024-03-04T12:21:12.227" level=warning msg="Fail to create namespace kbench-pod-namespace, namespaces \"kbench-pod-namespace\" already exists"
time="2024-03-04T12:21:12.227" level=info msg="Performing pod actions in operation 0"
time="2024-03-04T12:21:12.227" level=info msg="Waiting all threads to finish on the current operation"
time="2024-03-04T12:21:12.240" level=error msg="pods \"kbench-pod-oid-0-tid-2\" already exists"
time="2024-03-04T12:21:12.241" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2024-03-04T12:21:12.241" level=error msg="pods \"kbench-pod-oid-0-tid-1\" already exists"
time="2024-03-04T12:21:12.241" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2024-03-04T12:21:12.241" level=error msg="pods \"kbench-pod-oid-0-tid-0\" already exists"
time="2024-03-04T12:21:12.241" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2024-03-04T12:22:52.241" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T12:22:55.241" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T12:22:58.241" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T12:23:01.241" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T12:23:04.242" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T12:23:07.242" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T12:23:10.242" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T12:23:13.242" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T12:23:16.242" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T12:23:19.243" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T12:23:22.243" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T12:23:25.243" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T12:23:28.243" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T12:23:31.243" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T12:23:34.243" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T12:23:37.243" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T12:23:40.244" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T12:23:43.244" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T12:23:46.244" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T12:23:49.244" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T12:23:52.244" level=warning msg="Timed out after waiting 60000 mili-seconds, moving forward..."
time="2024-03-04T12:23:52.244" level=info msg="One operation completed. Continue to run the next..."
time="2024-03-04T12:23:52.344" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:23:52.344" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:23:52.344" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:23:55.436" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:23:55.436" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:23:55.436" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:23:58.534" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:23:58.534" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:23:58.534" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:24:01.628" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:24:01.628" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:24:01.628" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:24:04.726" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:24:04.726" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:24:04.726" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:24:07.822" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:24:07.822" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:24:07.822" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:24:10.924" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:24:10.924" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:24:10.924" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:24:14.023" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:24:14.023" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:24:14.023" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:24:17.112" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:24:17.112" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:24:17.112" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:24:20.206" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:24:20.206" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:24:20.206" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:24:23.303" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:24:23.303" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:24:23.303" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:24:26.396" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:24:26.396" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:24:26.396" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:24:29.489" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:24:29.489" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:24:29.489" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:24:32.580" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:24:32.580" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:24:32.580" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:24:35.676" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:24:35.676" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:24:35.676" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:24:38.771" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:24:38.771" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:24:38.771" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:24:41.863" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:24:41.863" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:24:41.863" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:24:44.962" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:24:44.962" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:24:44.962" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:24:48.047" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:24:48.047" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:24:48.047" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:24:51.145" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:24:51.145" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:24:51.145" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:24:54.241" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:24:54.241" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:24:54.241" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:24:57.334" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:24:57.334" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:24:57.334" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:25:00.436" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:25:00.436" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:25:00.436" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:25:03.537" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:25:03.537" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:25:03.537" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:25:06.633" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:25:06.633" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:25:06.633" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:25:09.728" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:25:09.728" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:25:09.728" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:25:12.827" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:25:12.827" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:25:12.827" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:25:15.919" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:25:15.919" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:25:15.919" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:25:19.017" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:25:19.017" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:25:19.017" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:25:22.110" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:25:22.110" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:25:22.110" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:25:25.200" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:25:25.200" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:25:25.200" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:25:28.311" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:25:28.311" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:25:28.311" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:26:23.945" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-04T12:26:23.945" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:26:23.945" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:26:26.951" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-04T12:26:26.951" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:26:26.951" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:26:29.958" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-04T12:26:29.958" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:26:29.958" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:26:32.965" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-04T12:26:32.965" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:26:32.965" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:26:35.972" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-04T12:26:35.972" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:26:35.972" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:26:38.978" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-04T12:26:38.978" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:26:38.978" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:26:41.984" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-04T12:26:41.984" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:26:41.984" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:26:44.991" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-04T12:26:44.991" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:26:44.991" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:26:47.997" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-04T12:26:47.997" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:26:47.997" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:26:51.004" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-04T12:26:51.004" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:26:51.004" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:26:54.010" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-04T12:26:54.010" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:26:54.010" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:26:57.018" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-04T12:26:57.018" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:26:57.018" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:27:00.024" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-04T12:27:00.024" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:27:00.024" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:27:03.030" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-04T12:27:03.031" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:27:03.031" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:27:06.037" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-04T12:27:06.038" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:27:06.038" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:27:09.044" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-04T12:27:09.044" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:27:09.044" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:27:12.050" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-04T12:27:12.050" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:27:12.050" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:27:15.143" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:27:15.143" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:27:15.143" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:27:18.242" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:27:18.242" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:27:18.242" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:27:21.350" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:27:21.350" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:27:21.350" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:27:24.445" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:27:24.445" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:27:24.445" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:27:27.544" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:27:27.544" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:27:27.544" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:27:30.642" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:27:30.642" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:27:30.642" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T12:27:33.739" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T12:27:33.739" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T12:27:33.739" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
