time="2023-12-26T01:56:49.753" level=info msg="Starting kbench..."
time="2023-12-26T01:56:49.755" level=info msg="Created a new Pod manager."
time="2023-12-26T01:56:49.765" level=warning msg="Fail to create namespace kbench-pod-namespace, namespaces \"kbench-pod-namespace\" already exists"
time="2023-12-26T01:56:49.765" level=info msg="Performing pod actions in operation 0"
time="2023-12-26T01:56:49.765" level=info msg="Waiting all threads to finish on the current operation"
time="2023-12-26T01:56:49.792" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2023-12-26T01:56:49.792" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2023-12-26T01:56:49.794" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2023-12-26T01:58:29.794" level=info msg="One operation completed. Continue to run the next..."
time="2023-12-26T01:58:29.914" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2023-12-26T01:58:29.914" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2023-12-26T01:58:29.914" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-26T01:58:33.039" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2023-12-26T01:58:33.039" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2023-12-26T01:58:33.039" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-26T01:58:36.150" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2023-12-26T01:58:36.150" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2023-12-26T01:58:36.150" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-26T01:58:39.290" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2023-12-26T01:58:39.290" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2023-12-26T01:58:39.290" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-26T01:58:42.428" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2023-12-26T01:58:42.428" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2023-12-26T01:58:42.428" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-26T01:58:46.528" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2023-12-26T01:58:46.528" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2023-12-26T01:58:46.528" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-26T01:58:49.632" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2023-12-26T01:58:49.632" level=warning msg="Command predicate not passed, output does not contain specified string"
